name,company,role,twitter,linkedIn
"Richard Teng","Binance","CEO","https://twitter.com/_RichardTeng","https://www.linkedin.com/in/richard-teng-3497b527/"
"Kingsley Coman","Lingo Coin","International French Footballer","",""
"Jeremy Allaire","Circle","Co-Founder","","https://www.linkedin.com/in/jeremyallaire/"
"Tim Draper","Draper Associates","Founder and Managing Partner at Draper Associates","","https://www.linkedin.com/in/timothydraper/"
"Blaise Matuidi","Chiliz","Football Legend and Web3 investor","",""
"Jan Van Eck","Van Eck","CEO","","https://www.linkedin.com/in/janfvaneck/"
"David Marcus","Lightspark","CEO & Co-Founder","https://twitter.com/davidmarcus?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","https://www.linkedin.com/in/dmarcus/"
"Arianna Simpson","Andreessen Horowitz","General Partner","","https://www.linkedin.com/in/ariannasimpson/"
"Mo Shaikh","Aptos","Co-Founder & CEO","https://twitter.com/moshaikhs","https://www.linkedin.com/in/moalishaikh/"
"Ryan Selkis","Messari","Co-Founder & CEO","",""
"Eric Anziani","Crypto.com","President and COO","",""
"Jiten Varu","Amazon Web Services","Head of FinTech & Web3 - Industry Leader EMEA","","https://www.linkedin.com/in/jitenvaru/"
"Verena Ross","ESMA (European Securities and Market Activities)","Chair of the European Securities and Markets Authority","",""
"Brad Garlinghouse","Ripple","CEO","","https://www.linkedin.com/in/bradgarlinghouse/"
"Silvio Micali","Algorand","Founder","https://twitter.com/silviomicali","https://www.linkedin.com/in/silvio-micali-26bb37152/"
"Karina Fernandez","Shell","General Manager of Emerging Digital Technologies","","https://www.linkedin.com/in/karina-fernandez-a43991153/"
"Frank Chaparro","The Block","Host of The Scoop and The Block's Director of Special Projects","","https://www.linkedin.com/in/fchaparro/"
"Dotun Rominiyi","London Stock Exchange","Director of Emerging Technology at London Stock Exchange","","https://www.linkedin.com/in/dotun-rominiyi"
"Basak Toprak","J.P. Morgan","Executive Director EMEA Head of Coin Systems","",""
"Elise Yoshida","Christian Louboutin","Digital And Web3 Communications Director","","https://www.linkedin.com/in/elise/?originalSubdomain=fr"
"Lily Liu","Solana Foundation","President of the Management","","https://www.linkedin.com/in/calilyliu/"
"Pascal Gauthier","Ledger","Chairman & CEO","https://twitter.com/_pgauthier?lang=en","https://www.linkedin.com/in/pascalgauthier1/"
"Vincent Benoist","Sephora","Global Innovation Project Director","",""
"Yat Siu","Animoca Brands","Co-Founder and Executive Chairman of Animoca Brands","","https://www.linkedin.com/in/yatsiu/"
"Wesley Tucker","Tracr","CEO","","https://www.linkedin.com/in/wesleytuckerprofile/"
"Thomas Restout","B2C2","Group CEO","","https://www.linkedin.com/in/thomas-restout-b944b621/?originalSubdomain=uk"
"Eric van Miltenburg","Ripple","Senior Vice President of Strategic Initiatives","","https://www.linkedin.com/in/vanmiltenburg/?originalSubdomain=uk"
"Yoni Assia","eToro","Co-Founder & CEO","https://twitter.com/yoniassia","https://www.linkedin.com/in/yoniassia/"
"Catherine Chen","Binance","Head of VIP & Institutional","",""
"Alexei Falin","Rarible","CEO & Co-Founder","","https://www.linkedin.com/in/alxfal/"
"Charlie Meraud","Woorton","CEO","","https://www.linkedin.com/in/charlie-meraud-8a096767/?originalSubdomain=fr"
"Chris Donovan","NEAR Foundation","COO","https://twitter.com/Chris_JP_D","https://www.linkedin.com/in/alxfal/"
"Dan Kamieniecki","Tel Aviv Stock Exchange","Head of Digital Assets","","https://www.linkedin.com/in/dan-kam/"
"Paul Wong","Stellar Development Foundation","Director of Product","",""
"Kristofer Dayne Penseyres","Dogami","Co-Founder & Chief Brand Officer","",""
"Silvia Attanasio","ABI"," ECB Digital Euro Market Advisory Group","",""
"Orly Grinfeld","Tel Aviv Stock Exchange","Executive Vice President & Head of Clearing","","https://www.linkedin.com/in/orly-grinfeld-056228232/"
"Nicolas Cary","Blockchain.com","Co-Founder and Vice Chairman","",""
"Henri Arslanian","Nine Blocks Capital Management","Co-founder and Managing partner","",""
"Josh Fried","Solana Foundation","Head of Commerce Business Development","","https://www.linkedin.com/in/joshuafried/"
"David Janczewski","Coincover","Founder & CEO","","https://www.linkedin.com/in/david-janczewski/"
"Anand Iyer","Lightspeed & Canonical","Founder and Managing Partner","",""
"Leo Schwartz","Fortune","Reporter","","https://www.linkedin.com/in/leo-schwartz-9682ba59/"
"Elisabeth Carpenter","Circle","COO","","https://www.linkedin.com/in/thiscarpenter/"
"Frank Holmes","HIVE Digital Technologies","Executive Chairman","","https://www.linkedin.com/in/frank-holmes-0a941b16/"
"Tara Harris","Nifty Gateway","Head","","https://www.linkedin.com/in/-tara-harris/"
"Dante Disparte","Circle","Chief Strategy Officer & Head of Global Policy","","https://www.linkedin.com/in/dantedisparte/"
"Markus Infanger","Ripple","SVP of RippleX","",""
"Jean-Marie Mognetti","CoinShares","CEO & Co-Founder","","https://www.linkedin.com/in/jmmognetti"
"Daniel Casanas","Stellar Development Foundation","Head of Investments","","https://www.linkedin.com/in/danielcasanas/"
"Denelle Dixon","Stellar Development Foundation","CEO & Executive Director","https://twitter.com/DenelleDixon","https://www.linkedin.com/in/denelle-dixon-967a236/"
"Sergej Kunz","1inch","Co-Founder","","https://www.linkedin.com/in/deacix/"
"Thibault Lecerf","Pernod Ricard","Web3 Leader","","https://www.linkedin.com/in/thibault-lecerf-635b563b/"
"Farokh Sarmad","Rug Radio","Founder","","https://www.linkedin.com/in/farokhsarmad/"
"Nick Hill","Moody`s Investors Service"," Paris","",""
"Matthew White","VARA","CEO","","https://www.linkedin.com/in/mjwme/"
"Alexandre Dreyfus","Socios & Chiliz","CEO","https://twitter.com/alex_dreyfus","https://www.linkedin.com/in/alexandredreyfus/"
"Rozh Rashid","Dutch Ministry of Finance & Tax Authorities","VAT & FinTech Specialist","",""
"Robby Yung","Animoca Brands","CEO of Investments","","https://www.linkedin.com/in/robyung/?originalSubdomain=uk"
"Austin Federa","Solana Foundation","Head of Strategy","","https://www.linkedin.com/in/austin-federa/"
"Alex Matsuo","Amazon Web Services","Co-Head of Web3","","https://www.linkedin.com/in/alexandre-matsuo/?locale=en_US"
"Nabil Manji","Worldpay","Senior Vice President & General Manager","",""
"Stephen Richardson","Fireblocks","Managing Director of Financial Markets","","https://www.linkedin.com/in/stephen--richardson/?originalSubdomain=sg"
"Kevin Hurley","Lightspark","Co-Founder and CTO","","https://www.linkedin.com/in/kevin-p-hurley/"
"Eric Demuth","Bitpanda","Co-Founder & CEO","","https://www.linkedin.com/in/eric-demuth-9ba02943/"
"Jessie Serrino","Stellar Development Foundation","Senior Product Manager","","https://www.linkedin.com/in/jessieserrino/"
"Alain Otaegui","European Banking Authority","Policy Expert on Digital Finance","","https://www.linkedin.com/in/alain-otaegui/"
"Coty De Monteverde","Santander","Head of the Crypto & Blockchain Center of Excellence","","https://www.linkedin.com/in/cotymonteverde/"
"Tom Farley","Bullish","CEO","","https://www.linkedin.com/in/thomas-farley-b9a806128/"
"Scott Melker","The Wolf of All Streets Podcast","Host","https://twitter.com/scottmelker?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","https://www.linkedin.com/in/scottmelker/"
"Stan Miroshnik","TenSquared  (10SQ)","Founder and Managing Partner","","https://www.linkedin.com/in/stanmiroshnik/"
"Ran Hammer","Orbs","Vice President of Business Development","https://twitter.com/Hammer86R","https://www.linkedin.com/in/ran-hammer-32323278/"
"Christian Rau","Mastercard","Senior Vice President Fintech and Crypto Enablement Europe","",""
"Zahreddine Touag","Woorton","Head of Trading","","https://www.linkedin.com/in/zahreddine/"
"Jason Lau","OKX","Chief Innovation Officer","","https://www.linkedin.com/in/jasonklau/"
"Randall Little","1RoundTable Partners & 10T Holdings","Partner","","https://www.linkedin.com/in/randalllittle/"
"Christoph Kreiterling","BaFin","Senior Adviser","","https://www.linkedin.com/in/christoph-kreiterling/?originalSubdomain=de"
"Michael Chobanian","Blockchain Association of Ukraine","President","",""
"Fatih Balyeli","Exaion","Co-Founder & CEO","","https://www.linkedin.com/in/fatih-balyeli-b010153/"
"Jérôme Prigent","BCB Group","Managing Director of BCB Europe","","https://www.linkedin.com/in/j%C3%A9r%C3%B4me-prigent/"
"Aydin Kilic","HIVE Digital Technologies","President & CEO","",""
"Kristina Lucrezia Cornèr","Cointelegraph","Editor-at-large","https://twitter.com/KristinaLCorner","https://www.linkedin.com/in/kristina-lucrezia-corn%C3%A8r-816703154/?originalSubdomain=it"
"Gabrielle Inzirillo","Abu Dhabi Global Market","Head of Ecosystem Development Financial Services Regulatory Authority","","https://www.linkedin.com/in/gainzirillo/?originalSubdomain=ae"
"Buchi Okoro","Quidax","Co-Founder & CEO","",""
"Samir Tabar","Bit Digital","CEO","","https://www.linkedin.com/company/bit-digital"
"Adam Levine","Fireblocks","SVP","",""
